NRO_DOC_FISCAL,RUC,RAZON_SOCIAL,COD_CLIENTE,COD_CUENTA,FUENTE,SISTEMA,FECHA_EMISION,FECHA_VTO,MONEDA,CHARGE_NET_AMOUNT,CHARGE_IGV_INVOICE,CHARGE_TOTAL_AMOUNT,origen_fecha_vto_mal_formada,total_pagado,cantidad_pagos,requirio_correccion_formato,total_nota_credito,monto_neto_a_pagar,diferencia,esta_vencida,estado_conciliacion,diferencia_es_trivial_redondeo
S9AA-0082103780,2050836779,CLIENT_00070,702465221,633428837,FACTURACION CICLICA,AMDOCS,2026-06-01,2026-06-17,PEN,73.86,13.29,87.15,False,87.15,1,False,0.0,87.15,0.0,True,CONCILIADA_EXACTA,True
S9AA-0082373878,2006444143,CLIENT_00059,83690706,65884557,FACTURACION CICLICA,AMDOCS,2026-06-01,2026-06-17,PEN,47.4,8.53,55.93,False,55.93,1,False,0.0,55.93,0.0,True,CONCILIADA_EXACTA,True
S9AA-0082398846,2030936191,CLIENT_00715,149263621,898524947,FACTURACION CICLICA,AMDOCS,2026-06-01,2026-06-17,PEN,142.32,25.61,167.93,False,167.93,1,False,0.0,167.93,0.0,True,CONCILIADA_EXACTA,True
S9AA-0081889332,2042647818,CLIENT_00266,28064185,904743157,FACTURACION CICLICA,AMDOCS,2026-06-01,2026-06-17,PEN,11.63,2.09,13.72,False,13.72,1,False,0.0,13.72,0.0,True,CONCILIADA_EXACTA,True
S8AA-0007635538,2093258591,CLIENT_00642,555856521,16720547,FACTURACION CICLICA,AMDOCS,2026-05-27,2026-06-13,PEN,52.14,9.39,61.53,False,61.53,1,False,0.0,61.53,0.0,True,CONCILIADA_EXACTA,True
S9AA-0082067056,2028712026,CLIENT_00204,30022516,2026606,FACTURACION CICLICA,AMDOCS,2026-06-01,2026-06-17,PEN,437.02,78.67,515.69,False,515.69,2,False,0.0,515.69,0.0,True,CONCILIADA_EXACTA,True
S9AA-0082206175,2023773061,CLIENT_00328,911133111,511291917,FACTURACION CICLICA,AMDOCS,2026-06-01,2026-06-17,PEN,39.33,7.08,46.41,False,46.41,1,False,0.0,46.41,0.0,True,CONCILIADA_EXACTA,True
S9AA-0082219337,2047585517,CLIENT_00754,914343231,116763067,FACTURACION CICLICA,AMDOCS,2026-06-01,2026-06-17,PEN,62.87,11.33,74.2,False,74.2,1,False,0.0,74.2,0.0,True,CONCILIADA_EXACTA,True
S9AA-0082343609,2082202511,CLIENT_00338,53080816,885009606,FACTURACION CICLICA,AMDOCS,2026-06-01,2026-06-17,PEN,104.59,18.82,123.41,False,123.41,1,False,0.0,123.41,0.0,True,CONCILIADA_EXACTA,True
S9AA-0081854893,2088706641,CLIENT_00419,87007116,725096257,FACTURACION CICLICA,AMDOCS,2026-06-01,2026-06-17,PEN,41.47,7.46,48.93,False,48.93,1,False,0.0,48.93,0.0,True,CONCILIADA_EXACTA,True
S9AA-0081827049,2013870601,CLIENT_00098,572674121,926932637,FACTURACION CICLICA,AMDOCS,2026-06-01,2026-06-17,PEN,41.47,7.46,48.93,False,48.93,1,False,0.0,48.93,0.0,True,CONCILIADA_EXACTA,True
S9AA-0081841399,2034958413,CLIENT_00366,77661495,794524406,FACTURACION CICLICA,AMDOCS,2026-06-01,2026-06-17,PEN,60.15,10.83,70.98,False,70.98,1,False,0.0,70.98,0.0,True,CONCILIADA_EXACTA,True
S9AA-0081812496,2091907227,CLIENT_00779,37698395,462643757,FACTURACION CICLICA,AMDOCS,2026-06-01,2026-06-17,PEN,106.95,19.26,126.21,False,117.81,1,False,8.39,117.82,-0.009999999999990905,True,CONCILIADA_EXACTA,True
S9AA-0082126917,2006444294,CLIENT_00359,1797306,954073506,FACTURACION CICLICA,AMDOCS,2026-06-01,2026-06-17,PEN,119.77,21.56,141.33,False,141.33,1,False,0.0,141.33,0.0,True,CONCILIADA_EXACTA,True
S9AA-0082253765,2000875718,CLIENT_00769,42605416,79421067,FACTURACION CICLICA,AMDOCS,2026-06-01,2026-06-17,PEN,8.01,1.44,9.45,False,9.45,1,False,0.0,9.45,0.0,True,CONCILIADA_EXACTA,True
S9AA-0082092899,2046859398,CLIENT_00764,60084616,92066606,FACTURACION CICLICA,AMDOCS,2026-06-01,2026-06-17,PEN,23.73,4.27,28.0,False,28.0,1,False,0.0,28.0,0.0,True,CONCILIADA_EXACTA,True
S9AA-0082476179,2037039972,CLIENT_00968,56068111,605125447,FACTURACION CICLICA,AMDOCS,2026-06-01,2026-06-17,PEN,62.94,11.33,74.27,False,74.27,1,False,0.0,74.27,0.0,True,CONCILIADA_EXACTA,True
S9AA-0082018377,2074355904,CLIENT_00935,203984621,629993647,FACTURACION CICLICA,AMDOCS,2026-06-01,2026-06-17,PEN,43.25,7.78,51.03,False,51.03,1,False,0.0,51.03,0.0,True,CONCILIADA_EXACTA,True
S9AA-0081836947,2011804641,CLIENT_00396,676669621,776152747,FACTURACION CICLICA,AMDOCS,2026-06-01,2026-06-17,PEN,118.59,21.34,139.93,False,139.93,1,False,0.0,139.93,0.0,True,CONCILIADA_EXACTA,True
S9AA-0082372229,2043659343,CLIENT_00128,830250421,724910247,FACTURACION CICLICA,AMDOCS,2026-06-01,2026-06-17,PEN,52.14,9.39,61.53,False,61.53,1,False,0.0,61.53,0.0,True,CONCILIADA_EXACTA,True
S9AA-0081755444,2067006652,CLIENT_00878,76781206,896022506,FACTURACION CICLICA,AMDOCS,2026-06-01,2026-06-17,PEN,39.69,7.14,46.83,False,46.83,1,False,0.0,46.83,0.0,True,CONCILIADA_EXACTA,True
S9AA-0082078300,2086007246,CLIENT_00809,40727195,10068147,FACTURACION CICLICA,AMDOCS,2026-06-01,2026-06-17,PEN,74.69,13.44,88.13,False,88.13,1,False,0.0,88.13,0.0,True,CONCILIADA_EXACTA,True
